Model,Tasks,Pairwise Rel. log WIS,Mean log WIS,Median log WIS,Pairwise Rel. WIS,Mean WIS,Median WIS,50% coverage,95% coverage
Google_SAI-RSVEns,3432,0.875807978534934,0.23541018765292926,0.1552248738122176,0.8624400832537256,17.95138751646904,8.39163043478261,0.3356643356643357,0.8173076923076923
RSVHub-ensemble,3432,1.0,0.26002708090914983,0.17368528092788588,1.0,20.05863254169651,9.112558585869566,0.37004662004662003,0.8513986013986014
RSVHub-baseline,3432,1.2342373993851503,0.30448619504962643,0.2237036510477085,1.0969496097915363,21.500142135418486,11.098079500947186,0.3356643356643357,0.9122960372960373
CEPH-Rtrend_rsv,3432,1.235850790930755,0.3047846639012127,0.19057405023501134,1.272784931920593,24.036298647005168,10.311304347826086,0.3412004662004662,0.7502913752913752
