Model,Tasks,Pairwise Rel. log WIS,Mean log WIS,Median log WIS,Pairwise Rel. WIS,Mean WIS,Median WIS,50% coverage,95% coverage
CEPH-Rtrend_fluH,4680,1.2143446252860013,0.40251060910813546,0.2929949530404581,0.9930459039813829,77.47730824972129,21.13717391304348,0.4,0.8538461538461538
Gatech-ensemble_prob,4560,1.2362830293005806,0.41587449379588515,0.27340565446967513,1.4256955385381016,112.37663539282991,24.094782608695652,0.41600877192982455,0.7923245614035088
NAU-epymorph,4680,1.2515553989334138,0.42249168234934087,0.28936575293565475,1.302445537858778,100.85039557785211,24.94608695652174,0.2814102564102564,0.7029914529914529
UVAFluX-Ensemble,4628,1.25391613023591,0.40923814105140394,0.28401069032315074,2.4632281348696963,179.78053295629627,24.814565217391305,0.42134831460674155,0.7554019014693172
Gatech-ensemble_stat,4680,1.2687068417855143,0.4246469881036678,0.3020362471543141,1.236097031065041,96.35028600017131,25.27976956692011,0.43846153846153846,0.7743589743589744
UGA_CEID-auto_AVG_LB,4472,1.2762225944846401,0.42038640399144345,0.24225242734668131,1.4219830923717087,112.64180152120643,28.182190859326607,0.4000447227191413,0.802772808586762
MOBS-GLEAM_RL_FLUH,4574,1.3067280598581434,0.43764258886800506,0.2881518113754099,1.0753860455878155,84.39725810770871,23.894778385078133,0.23043288150415392,0.5835155225185833
MOBS-EpyStrain_Flu,4138,1.3159495069383131,0.43633140136659515,0.2832966642185201,1.4870753583018774,116.37398438649211,21.297608695652173,0.35113581440309327,0.7257129047849202
UNC_IDD-InfluPaint,4590,1.3775475792285956,0.460598047111716,0.325927004226204,1.3344028520205546,104.48439531394031,25.084183211459766,0.3906318082788671,0.8248366013071895
NEU_ISI-FluBcast,4106,1.38794890557707,0.44139558931770057,0.30239493877652235,1.5170429497315063,123.65185910332706,24.217173913043478,0.2079883097905504,0.5289819775937652
UMass-AR2,4628,1.4137178631232084,0.47118669718739464,0.3100679294861125,1.3307720725276901,102.60541481475231,25.7800702008455,0.38569576490924806,0.7867329299913569
NIH-Flu_ARIMA,3958,1.4309950773337634,0.4823879147296075,0.3032629558586135,1.3241104965980655,108.2028746402443,24.118043478260873,0.22258716523496716,0.6349166245578575
UI_CompEpi-EpiGen,3927,1.4617087158538111,0.4803235120772839,0.39231016807517977,1.4728823478022028,122.00349575403284,25.496956521739133,0.3761140819964349,0.6569900687547746
VTSanghani-PRIME,4116,1.5478773050300376,0.5215005798005478,0.2653111765467098,1.6052344203562159,94.88198842269827,24.532826086956522,0.5080174927113703,0.7203595724003887
FluSight-baseline,4680,1.5936989623067572,0.5298500943430873,0.4131404544624576,1.4835625925123976,114.53941982534374,31.516956521739132,0.30491452991452994,0.8320512820512821
UM-DeepOutbreak,4420,1.6706439952878414,0.5585490684467316,0.5279511202767925,1.361258561982972,108.5343978658995,36.14098589192028,0.481447963800905,0.8079185520361991
LosAlamos-ThinMint,4680,1.7846477829896328,0.5902348993897816,0.42729928558353636,1.3598976473666007,105.80355081753996,31.45217391304348,0.4081196581196581,0.8143162393162393
LosAlamos-DoSiDo,4680,1.8316719143507072,0.6057146814469279,0.49191480044841585,1.6734609036228356,129.2306915644742,33.01456521739131,0.46303418803418805,0.9145299145299145
UGA_CEID-Walk,4420,2.0848471258727153,0.6840500578099532,0.4988838764759803,1.6923946456603955,132.63991891589612,37.63001804347826,0.468552036199095,0.7144796380090498
LosAlamos_NAU-CModel_Flu,4676,2.09832307124816,0.6979074594480263,0.4984846940020854,1.8863086742622606,145.62667070238405,33.67630434782609,0.15162532078699745,0.38280581693755344
